DateTime,Text,URL,Reply,Retweet,Like,QuoteTweet
2021-7-6 21:39,やったー！,https://twitter.com/skytomo221/status/1412390772410748931,0,0,3,0
2021-7-6 9:20,@mntneko_ おはようございます,https://twitter.com/skytomo221/status/1412204865887997959,0,0,1,0
2021-7-5 11:51,クイズに挑戦!じゃないんだよ https://t.co/S55fTfC7st,https://twitter.com/skytomo221/status/1411880357016653825,0,1,10,0
2021-7-4 11:07,@SenryuChanBot 監視して,https://twitter.com/skytomo221/status/1411506809085456384,1,0,0,0
2021-7-4 11:14,@zerosan030303 おはようございます～,https://twitter.com/skytomo221/status/1411508628184469507,0,0,1,0
2021-7-4 9:08,おはようございます,https://twitter.com/skytomo221/status/1411476980621475849,0,0,5,0
2021-7-7 8:27,ぬんぬん,https://twitter.com/skytomo221/status/1412553899077095426,0,0,2,0
2021-7-7 9:06,@ribn_il ああー…もしVRChatやっているのならフレンド交換しませんか？自分は最近あまりやれていませんが…,https://twitter.com/skytomo221/status/1412563722757836801,1,0,1,0
2021-7-5 16:53,Alacrittyくんは環境によって日本語のインライン入力ができないのか… Konsoleで試したらできたので、Konsoleを使おうかな https://t.co/NBIDRq2BAl,https://twitter.com/skytomo221/status/1411956424612057088,0,0,7,0
2021-7-7 22:00,@mizuwumi なんで！？,https://twitter.com/skytomo221/status/1412758363075530760,1,0,0,0
2021-7-2 10:44,やばいこれ,https://twitter.com/skytomo221/status/1410776256551870464,0,0,0,0
2021-7-7 13:04,本日の鹿児島高専寮の昼食です https://t.co/5WTop4dYBy,https://twitter.com/skytomo221/status/1412623504332054534,1,4,41,1
2021-7-3 11:28,@ta_kihoku 同じことになったことがあるので、それはきっと寿命なんだよ,https://twitter.com/skytomo221/status/1411149898695675906,1,0,1,0
2021-7-7 11:52,ネコ 猫 ねこ https://t.co/Yzfatcwl7Y,https://twitter.com/skytomo221/status/1412605362247589895,0,0,3,0
2021-7-1 21:30,JuliaとJupyterをよく見間違えるし言い間違える,https://twitter.com/skytomo221/status/1410576573611220995,0,0,3,0
2021-7-1 8:06,??,https://twitter.com/skytomo221/status/1410374299999870980,0,0,8,0
2021-7-6 10:13,@E3_Sentry おはまいす?,https://twitter.com/skytomo221/status/1412218147080335360,1,0,0,0
2021-7-7 8:55,@8_8cm_FlaK おはようございます??,https://twitter.com/skytomo221/status/1412560911542325251,1,0,0,0
